Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,is_dnf
106059,"Batman: Bruce Wayne, Murderer?",Greg Rucka,"Rucka, Greg","Chuck Dixon, Steve Lieber, Jesse Delperdang, Trevor McCarthy, Scott McDaniel, Roger Robinson, Damion Scott, Pete Woods, Ed Brubaker, Devin Grayson, Kelley Puckett, Rick Burchett, Rick Leonardi",1563899132,9781563899133,4,DC Comics,Paperback,552.0,2002.0,2002.0,2026/02/13,2024/03/31,read-2026,read-2026 (#4),read,"maravilhosa, gosto muito das histórias do universo do batman dos anos 2000. tem tudo que eu gosto nas hqs do batman: um mistério muito envolvente, os personagens incríveis, uma arte linda e a atmosfera de gotham que eu amo tanto. estou muito ansiosa pra ler o desfecho dessa história!",,,1,0,False
247292749,"My Dear Detective: Mitsuko’s Case Files, Vol. 7",Natsumi Ito,"Ito, Natsumi",Arthur Miura,1960186310,9781960186317,5,Omoi,Kindle Edition,,2026.0,,2026/02/04,2026/02/04,"mangas, read-2026","mangas (#151), read-2026 (#2)",read,"eu amo essa história tanto, mitsuki e saku são tão especiais!!!",,,1,0,False
43352954,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,,,5,Saga Press,ebook,209.0,2019.0,2019.0,2020/01/02,2020/12/15,read-2020,read-2020 (#1),read,,,,2,0,False
204642474,Catwoman: Trail of the Catwoman,Ed Brubaker,"Brubaker, Ed",Darwyn Cooke,1779527284,9781779527288,4,DC Comics,Paperback,336.0,2024.0,2008.0,2026/01/16,2026/01/11,read-2026,read-2026 (#1),read,"muito bom! a selina é uma personagem que apaixona rapidamente pelo seu jeito sarcástico, forte e inteligente e todos os outros personagens também são muito distintos e interessantes.<br/>o enredo não deixa a desejar, é uma história muito envolvente sobre corrupção e as pessoas que são esquecidas e ignoradas pela sociedade, eu achei a mulher-gato uma grande justiceira, amei a jornada dela.<br/>minha única crítica é que o último arco nos deixa querendo mais, mas como introdução da personagem imagino que é essa a intenção. ",,,1,0,False
218689177,Great Big Beautiful Life,Emily Henry,"Henry, Emily",Julia  Whelan,,,4,Penguin Audio,Audiobook,12.0,2025.0,2025.0,2025/12/06,2024/10/16,"romance, read-2025","romance (#84), read-2025 (#45)",read,"what a beautiful book! definitely one of my favorites among emily henry’s books. after happy place and funny story i thought maybe i wouldn’t be into it anymore, but this book!!! this book!! the story is so interesting, the characters are fleshed out and you can’t stop rooting for them. the audiobook experience is flawless <3",,,1,0,False
60811826,I Who Have Never Known Men,Jacqueline Harpman,"Harpman, Jacqueline","Ros Schwartz, Sophie Mackintosh",1945492600,9781945492600,4,Transit Books,Paperback,173.0,2022.0,1995.0,2025/01/26,2025/01/26,read-2025,read-2025 (#3),read,"once when i was a child i was running down a corridor and fell face down, all the air vanished from my body and i had to stay still for a couple of minutes until i could breathe again. i who have never know men feels like that experience. <br/><br/>the book is very direct and sometimes even a bit funny in its absurdity, but also quietly sad. it’s weirdly hopeful, despite the fact that all hope is lost! it’s unlike anything i can remember reading before and i really loved it.",,,1,0,False
39325105,"Harrow the Ninth (The Locked Tomb, #2)",Tamsyn Muir,"Muir, Tamsyn",,1250313228,9781250313225,5,Tor.com,Hardcover,512.0,2020.0,2020.0,2023/06/15,2023/05/26,read-2023,read-2023 (#13),read,,,,2,0,False
42036538,"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,"Muir, Tamsyn",,1250313198,9781250313195,5,Tor,Hardcover,448.0,2019.0,2019.0,2023/05/26,2022/01/30,"read-2023, favorites","read-2023 (#12), favorites (#8)",read,,,,2,0,False
242387852,SAKAMOTO DAYS 24,Yuto Suzuki,"Suzuki, Yuto",鈴木祐斗,4088846923,9784088846927,4,集英社,Paperback,184.0,2025.0,2025.0,2025/10/14,2025/10/14,"mangas, read-2025","mangas (#150), read-2025 (#44)",read,,,,1,0,False
239941434,SAKAMOTO DAYS 23,Yuto Suzuki,"Suzuki, Yuto",鈴木祐斗,4088846087,9784088846088,4,集英社,Paperback,184.0,2025.0,2025.0,2025/10/14,2025/10/12,"mangas, read-2025","mangas (#149), read-2025 (#43)",read,,,,1,0,False
