Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
20744034,A cabeça do santo,Socorro Acioli,"Acioli, Socorro",,"=""8535923691""","=""9788535923698""",5,Companhia das Letras,Paperback,168,2014,2014,2026/04/21,2026/02/27,read-2026,read-2026 (#15),read,,,,1,0
204642455,"Ultimate X-Men, Vol. 1: Fears and Hates",Peach Momoko,"Momoko, Peach","Zack Davisson, Travis Lanham","=""1302957317""","=""9781302957315""",4,Marvel,Paperback,160,2024,2024,2026/04/21,2026/04/21,"comics, read-2026","comics (#101), read-2026 (#14)",read,,,,1,0
8701864,"Gotham Central, Book Four: Corrigan",Greg Rucka,"Rucka, Greg","Ed Brubaker, Kano","=""1401230032""","=""9781401230036""",5,DC Comics,Hardcover,224,2011,2011,2026/04/13,2026/04/08,"comics, read-2026","comics (#100), read-2026 (#12)",read,,,,1,0
231680079,The Poet Empress,Shen Tao,"Tao, Shen",,"=""125040682X""","=""9781250406828""",5,Bramble,Kindle Edition,432,2026,2026,2026/04/10,2026/04/07,"coming-2026, read-2026","coming-2026 (#9), read-2026 (#13)",read,"eu amei esse livro!! o sistema de magia é muito interessante, a protagonista, wei, é maravilhosa e eu amei seguir a narrativa dela. <br/><br/>a autora consegue, de alguma forma, contar uma história dentro da história, assim os leitores seguem ao mesmo tempo os desdobramentos da vida da wei no palácio e descobrem os segredos do noivo terrível dela, que podem ser sua única chance de sobrevivência. <br/><br/>a atmosfera da história é envolvente e a construção de mundo é bem trabalhada, eu fui muito surpreendida pelas reviravoltas da história e eu amo isso. fazia muito tempo que eu não lia fantasia e esse livro me lembrou porque eu amo esse gênero literário.",,,1,0
39978052,"Fire & Blood: 300 Years Before A Game of Thrones (A Targaryen History, #1)",George R.R. Martin,"Martin, George R.R.",Simon Vance,"=""""","=""""",0,Random House Audio,Audible Audio,27,2018,2018,,2026/03/29,"read-2026, did-not-finish","read-2026 (#10), did-not-finish (#13)",did-not-finish,"[10/04/2026]: stopped at 21%, will come back later (maybe) (probably)",,,1,0
231679954,The Red Winter,Cameron Sullivan,"Sullivan, Cameron",,"=""1250362776""","=""9781250362773""",0,Tor Books,Kindle Edition,529,2026,2026,,2026/04/10,"to-read, coming-2026","to-read (#180), coming-2026 (#10)",to-read,,,,0,0
52238002,"Subtle Blood (The Will Darling Adventures, #3)",K.J. Charles,"Charles, K.J.",,"=""""","=""9781912688197""",5,KJC Books,ebook,290,2021,2021,2021/09/25,2021/09/25,"romance, read-2021, favorites","romance (#9), read-2021 (#105), favorites (#14)",read,"honestly, i could reread this series a hundred times! these are my comfort books and the only bad thing about them is that they end.",,,4,0
52237997,"The Sugared Game (The Will Darling Adventures, #2)",K.J. Charles,"Charles, K.J.",,"=""1912688174""","=""9781912688173""",5,KJC Books,Kindle Edition,288,2020,2020,2021/09/25,2021/09/24,"romance, read-2021, favorites","romance (#8), read-2021 (#104), favorites (#13)",read,,,,4,0
52237989,"Slippery Creatures (The Will Darling Adventures, #1)",K.J. Charles,"Charles, K.J.",,"=""1912688158""","=""9781912688159""",5,KJC Books,ebook,265,2020,2020,2021/09/24,2021/08/19,"romance, read-2021, favorites","romance (#6), read-2021 (#103), favorites (#12)",read,gay people doing espionage in the 1920s is everything i didn’t know i needed!! will darling is a great main character and it was so much fun to go along with his adventures when he was literally just trying to chill. i also love his friendship with maisie and phoebe and the romance with kim.,,,4,0
45165750,The Memory Police,Yōko Ogawa,"Ogawa, Yōko","Stephen    Snyder, Traci Kato-Kiriyama","=""0525634274""","=""9780525634270""",4,Random House Audio,Audiobook,7,2019,1994,2025/07/08,2025/02/03,read-2025,read-2025 (#18),read,"read/listened to the audiobook.<br/>the audiobook brings so much to the story, the narrator did such an amazing job at creating a spooky and unnerving atmosphere. the story itself, as long as it took for me to finish, is captivating and heartbreaking, the ending was unexpected but also the only one that could exist.<br/>i didn't think forgetting was so scary, but this book, which is as much about memories making you who you are as it is about fascism, really makes you feel as desperate as the characters. i loved it!",,,1,0
106069,Batman: The Long Halloween,Jeph Loeb,"Loeb, Jeph",Tim Sale,"=""1563894696""","=""9781563894695""",5,DC Comics,Paperback,376,1999,1997,2022/04/02,2022/03/26,"comics, read-2022, favorites","comics (#33), read-2022 (#35), favorites (#11)",read,,,,2,0
7113260,"Gotham Central, Book Three: On the Freak Beat",Ed Brubaker,"Brubaker, Ed","Michael Lark, Stefano Gaudiano","=""1401227546""","=""9781401227548""",5,DC Comics,Hardcover,224,2010,2010,2026/04/08,2026/04/07,"comics, read-2026","comics (#99), read-2026 (#11)",read,,,,1,0
6763725,Capitalist Realism: Is There No Alternative?,Mark Fisher,"Fisher, Mark",,"=""1846943175""","=""9781846943171""",0,Zero Books,Paperback,81,2009,2009,,2026/04/08,"to-read, nonfiction","to-read (#179), nonfiction (#23)",to-read,,,,0,0
6375833,"Gotham Central, Book Two: Jokers and Madmen",Ed Brubaker,"Brubaker, Ed","Greg Rucka, Michael Lark, Greg Scott, Brian Hurtt, Stefano Gaudiano","=""1401225217""","=""9781401225216""",4,DC Comics,Hardcover,288,2009,2005,2026/04/07,2026/03/21,"comics, read-2026","comics (#98), read-2026 (#9)",read,,,,1,0
227759573,We Breed Lions: Confronting Canada's Troubled Hockey Culture,Rick Westhead,"Westhead, Rick",,"=""1039012949""","=""9781039012943""",0,Random House Canada,Kindle Edition,407,2025,2025,,2025/11/06,"nonfiction, to-read","nonfiction (#15), to-read (#178)",to-read,,,,1,0
216970860,Girl on Girl: How Pop Culture Turned a Generation of Women Against Themselves,Sophie Gilbert,"Gilbert, Sophie",,"=""0593656296""","=""9780593656297""",0,Penguin Press,Hardcover,352,2025,2025,,2026/03/24,"to-read, nonfiction","to-read (#177), nonfiction (#22)",to-read,,,,0,0
3316474,"Gotham Central, Book One: In the Line of Duty",Ed Brubaker,"Brubaker, Ed","Greg Rucka, Michael Lark, Lawrence Block, Kano","=""1401219233""","=""9781401219239""",4,DC Comics,Hardcover,240,2008,2003,2026/03/21,2024/01/03,"comics, read-2026","comics (#43), read-2026 (#8)",read,,,,1,0
184447530,"The Hades Calculus (Gunmetal Olympus, #1)",Maria Ying,"Ying, Maria",,"=""""","=""""",0,Hua Publishing,Kindle Edition,418,2024,2024,,2026/03/16,to-read,to-read (#176),to-read,,,,0,0
216970870,Serial Killer Games,Kate  Posey,"Posey, Kate",,"=""0593818512""","=""9780593818510""",4,Berkley,Paperback,384,2025,2025,2026/03/09,2025/09/21,"romance, read-2026","romance (#94), read-2026 (#7)",read,"esse livro me enganou tantas vezes, eu amei! os personagens são muito interessantes e engraçados! o romance é fofo demais e o enredo foi o que mais me prendeu, impossível não ser surpreendida por essa história.",,,1,0
46261182,"The Awakening (Zodiac Academy, #1)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",1,Dark Ink Publishing,Kindle Edition,436,2019,2019,,2023/05/26,"did-not-finish, read-2023","did-not-finish (#10), read-2023 (#25)",did-not-finish,"dnf @ 56%<br/><br/>who the fuck called this enemies to lovers?? these male love interests are constantly sexually assaulting these girls and doing horrific things to them. that’s literally the entire plot, nothing else happens at all, and it’s somehow justified because “they should just get strong enough to beat them up if they want it to stop”. this book made me sick, it’s absolute trash and the writing is awful. ",,,1,0
212808316,"Wings of Starlight (Wings of Pixie Hollow, #1)",Allison Saft,"Saft, Allison",,"=""1368098452""","=""9781368098458""",0,Random House/Disney,Hardcover,400,2025,2025,,2024/06/30,did-not-finish,did-not-finish (#12),did-not-finish,dnf @ 28%<br/><br/>just didn’t get into it. ,,,1,0
43801254,The Worst Best Man,Mia Sosa,"Sosa, Mia",,"=""0062909886""","=""9780062909886""",0,Avon,ebook,368,2020,2020,,2022/07/25,"romance, read-2022, did-not-finish","romance (#46), read-2022 (#51), did-not-finish (#6)",did-not-finish,"dnf @ 44%<br/><br/>i might come back to finish it at some point but right now it’s just not buzzing my brain, i think i’m not in a romance vibe so this put me deeper into the Reading Slump. ",,,0,0
45302789,"The Missing Page (Page & Sommers, #2)",Cat Sebastian,"Sebastian, Cat",,"=""""","=""9798201586973""",0,,ebook,236,2022,2022,,2023/01/27,"romance, read-2023, did-not-finish","romance (#57), read-2023 (#5), did-not-finish (#8)",did-not-finish,,,,0,0
55926057,"Indigo Ridge (The Edens, #1)",Devney Perry,"Perry, Devney",,"=""""","=""""",0,Devney Perry LLC,Kindle Edition,340,2021,2021,,2022/12/26,"romance, did-not-finish, read-2023","romance (#56), did-not-finish (#11), read-2023 (#26)",did-not-finish,"dnf @ 31%<br/><br/>sorry i just haven’t given a fuck about anything in this book yet, life is too short to keep reading this.",,,0,0
58100280,"The Cheat Sheet (The Cheat Sheet, #1)",Sarah       Adams,"Adams, Sarah",,"=""""","=""""",1,,Kindle Edition,306,2021,2021,,2023/05/12,"romance, read-2023, did-not-finish","romance (#61), read-2023 (#10), did-not-finish (#9)",did-not-finish,"dnf @ 11%<br/><br/>we GET IT. bree is better/cooler/quirkier/smarter and every other woman in the world is stupid and annoying. couldn’t stand another page of this book, omfg.",,,0,0
45422268,The Vanished Birds,Simon Jimenez,"Jimenez, Simon",,"=""0593128982""","=""9780593128985""",0,Del Rey,Hardcover,391,2020,2020,,2022/04/07,"read-2022, did-not-finish","read-2022 (#47), did-not-finish (#7)",did-not-finish,dnf @ 51%<br/><br/>another victim of my reading slump. i was really enjoying it but i’ve been trying to finish it since april so let’s be honest… but i will come back for it. probably.,,,0,0
60438355,"Terms and Conditions  (Dreamland Billionaires, #2)",Lauren Asher,"Asher, Lauren",,"=""""","=""""",0,Lauren Asher,Paperback,496,2022,2022,,2022/02/26,"romance, read-2022, did-not-finish","romance (#33), read-2022 (#27), did-not-finish (#5)",did-not-finish,"dnf @ 20%<br/><br/>iris is a good protagonist but declan is so fucking annoying, i can’t keep reading about him enough to get to any kind of redemption or growth arc for his character (if he ever gets that).",,,0,0
